公司,gongsi/Company
企业,qiye/Enterprise
子公司,zigongsi/Subsidiary
分公司,fengongsi/Branch
有限责任公司,youxianzerengongsi/Limited Liability Company (LLC)
股份有限公司,gufanyouxiangongsi/Joint Stock Company / PLC
创业公司,chuangyegongsi/Startup
跨国公司,kuaguogongsi/Multinational Company
首席执行官,shouxizhixingguan/CEO
首席财务官,shouxicaiwuguan/CFO
首席运营官,shouxiyunyingguan/COO
首席技术官,shouxijishuguan/CTO
首席营销官,shouxiyingxiaoguan/CMO
经理,jingli/Manager
总监,zongjian/Director
董事会,dongshihui/Board of Directors
董事长,dongshizhang/Chairman
股东,gudong/Shareholder
利益相关者,liyixiangguanzhe/Stakeholder
合伙人,hehuoren/Partner
供应商,gongyingshang/Supplier
厂商,changshang/Vendor
客户,kehu/Client / Customer
消费者,xiaofeizhe/Consumer
员工,yuangong/Employee
雇主,guzhu/Employer
人力资源,renliziyuan/HR
招聘,zhaopin/Recruitment
合同,hetong/Contract
协议,xieyi/Agreement
条款,tiaokuan/Clause / Term
招标,zhaobiao/Tender / Bidding
投标,toubiao/Bid
提案,tian/Proposal
报价,baojia/Quote
发票,fapiao/Invoice
收据,shouju/Receipt
付款,fukuan/Payment
交易,jiaoyi/Transaction
收入,shouru/Revenue
利润,lirun/Profit
亏损,kuisun/Loss
利润率,lirunlv/Margin
预算,yusuan/Budget
投资,touzi/Investment
资本,ziben/Capital
股权,guquan/Equity
债务,zhaiwu/Debt
贷款,daikuan/Loan
资产,zichan/Asset
负债,fuzhai/Liability
税务,shuiwu/Tax
审计,shenji/Audit
市场营销,shichangyingxiao/Marketing
销售,shishou/Sales
品牌,pinpai/Brand
促销,cuxiao/Promotion
战略,zhanlve/Strategy
计划,jihua/Plan
目标,mubiao/Goal / Objective
研发,yanfa/R&D
创新,chuangxin/Innovation
知识产权,zhishichanquan/Intellectual Property (IP)
专利,zhuanli/Patent
商标,shangbiao/Trademark
版权,banquan/Copyright
标志,biaozhi/Logo
企业对企业,qiyeduiaiqiye/B2B
企业对消费者,qiyeduixiaofeizhe/B2C
谈判,tanpan/Negotiation
成交,chengjiao/Deal
合作伙伴关系,hezuohuobanguanxi/Partnership
协作,xiezuo/Collaboration
会议,huiyi/Meeting
演示,yanshi/Presentation
报告,baogao/Report
分析,fenxi/Analysis
行业,hangye/Industry / Sector
利基市场,lijishichang/Niche Market
竞争,jingzheng/Competition
竞争对手,jingzhengduishou/Competitor
质量,zhiliang/Quality
标准,biaozhun/Standard
法规,fagui/Regulation
合规,hegui/Compliance
供应链,gongyinglian/Supply Chain
物流,wuliu/Logistics
分销,fenxiao/Distribution
库存,kucun/Inventory / Stock
仓库,cangku/Warehouse
风险,fengxian/Risk
机会,jihua/Opportunity
挑战,tiaozhan/Challenge
趋势,qushi/Trend
价值,jiazhi/Value
服务,fuwu/Service
产品,chanpin/Product
解决方案,jiejuefangan/Solution
评论,pinglun/Review
声誉,shengyu/Reputation
信任,xinren/Trust